id,name,priority,description
51,Software Performance Optimization,Medium,User's software performance needs to be optimized for better speed.
52,Network Bandwidth Problem,High,User experiences slow network speeds despite high bandwidth availability.
53,Email Account Setup,Low,User needs help setting up a new email account on their computer.
54,Keyboard Replacement Request,Medium,User's keyboard is faulty and needs replacement.
55,Printer Configuration Issue,High,User's printer configuration settings need adjustment.
56,Software Patch Installation,Low,User needs help installing a critical software patch.
57,Network Printer Driver Issue,High,User's computer does not recognize the network printer driver.
58,Email Client Configuration,Low,User needs assistance configuring their email client software.
59,Application Crash on Launch,Medium,User's application crashes every time it is launched.
60,VPN Performance Issue,High,User experiences slow VPN performance during peak hours.
61,External Hard Drive Not Detected,Low,User's computer does not detect the external hard drive connected to it.
62,Printer Spooler Error,High,User encounters a printer spooler error when trying to print.
63,Software Data Corruption,Medium,User's software data appears corrupted and needs recovery.
64,Network Firewall Configuration,High,User needs help configuring the firewall settings on their network.
65,Email Filter Setup,Low,User needs assistance setting up email filters for organizing emails.
66,Keyboard Backlight Issue,Medium,User's keyboard backlight is not functioning properly.
67,Printer Duplex Printing Issue,High,User's printer is not printing on both sides of the paper (duplex printing).
68,Software License Transfer,Low,User needs assistance transferring their software license to a new computer.
69,Network Printer Paper Tray Issue,High,User's network printer is not picking up paper from the correct tray.
70,Email Signature Setup,Low,User needs help setting up an email signature in Outlook.
71,Application Data Loss,Medium,User's application data is lost and needs to be recovered.
72,VPN Connection Speed Issue,High,User experiences slow connection speed while using VPN.
73,External Monitor Connection Cable Issue,Low,User's external monitor connection cable is loose and needs to be replaced.
74,Printer Network Sharing Issue,High,User cannot share their printer over the office network.
75,Software Feature Request,Low,User requests a new feature to be added to their software application.
76,Network Performance Testing,High,User requests a performance test to diagnose network speed issues.
77,Email Attachment Size Limit Issue,Low,User cannot send large attachments through email due to size limits.
78,Keyboard Sticky Key Issue,Medium,User's keyboard keys are sticky and difficult to press.
79,Printer Wireless Setup,High,User needs help setting up their wireless printer connection.
80,Software License Expiry Notification,Low,User requests a notification for software license expiration.
81,Network Printer Firmware Update,High,User needs assistance updating the firmware on their network printer.
82,Email Account Password Change,Low,User needs help changing their email account password.
83,Application UI Scaling Issue,Medium,User's application UI does not scale properly on high-resolution screens.
84,VPN Server Configuration,High,User needs assistance configuring the company's VPN server.
85,External Hard Drive File Transfer Issue,Low,User encounters errors while transferring files to/from external hard drive.
86,Printer Queue Clearing,High,User needs help clearing the print queue on their printer.
87,Software Data Backup,Low,User needs assistance backing up their important software data.
88,Network Port Configuration,High,User needs help configuring network ports for a new device.
89,Email Alias Setup,Low,User needs help setting up an email alias for their account.
90,Printer Cartridge Alignment Issue,High,User's printer cartridges are not aligning properly.
91,Software License Deactivation,Low,User needs assistance deactivating their software license on an old computer.
92,Network Printer Wireless Signal Weakness,High,User's network printer signal is weak and causes printing issues.
93,Email Folder Organization,Low,User needs assistance organizing their email folders and rules.
94,Application Data Migration,Medium,User needs assistance migrating their application data to a new computer.
95,VPN Client Configuration,High,User needs help configuring their VPN client settings.
96,External Monitor Refresh Rate Issue,Low,User's external monitor has a refresh rate issue causing flickering.
97,Network Printer Paper Jam Recovery,High,User's network printer has recovered from a paper jam and needs verification.
98,Test,Low,tst
99,Test,High,test
